Area name,Area code,region name,Owned,Proportion Owned,Rented,Proportion Rented,Ratio,Mean house price 2021
Carmarthenshire,W06000010,Wales,4485,0.437774524,5760,0.562225476,5.72,192112.81602
Swansea,W06000011,Wales,5665,0.315862838,12270,0.684137162,6.1,210569.9449
Neath Port Talbot,W06000012,Wales,3925,0.440269209,4990,0.559730791,4.42,152991.79862
Bridgend,W06000013,Wales,4430,0.484948002,4705,0.515051998,5.75,201197.18622
Vale of Glamorgan,W06000014,Wales,3575,0.471635884,4005,0.528364116,9.66,296737.4922
Cardiff,W06000015,Wales,9955,0.290317877,24335,0.709682123,8.14,270040.29102
Rhondda Cynon Taf,W06000016,Wales,7150,0.422576832,9770,0.577423168,4.88,155458.47393
Caerphilly,W06000018,Wales,5205,0.458388375,6150,0.541611625,5.24,176094.55078
Blaenau Gwent,W06000019,Wales,1830,0.371196755,3100,0.628803245,3.63,126173.9324
Torfaen,W06000020,Wales,2670,0.423473434,3635,0.576526566,5.63,198682.73673
Monmouthshire,W06000021,Wales,1740,0.422843256,2375,0.577156744,10.38,328910.7962
Newport,W06000022,Wales,4945,0.427583225,6620,0.572416775,7.08,228115.24314
Powys,W06000023,Wales,2340,0.366197183,4050,0.633802817,7.74,238120.99954
Merthyr Tydfil,W06000024,Wales,1700,0.394889663,2605,0.605110337,4.87,150815.99861
